Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,RMSE,Top 5 Accuracy
0,0.312500002,0,1.095958099,1.130988002,0.470564647,1
"0","0.0","0.0","1.095913052558899","1.101735234260559","0.4708860516548157","1.0"
"1","0.0","0.0","1.0933189392089844","1.0987809896469116","0.47027164697647095","1.0"
"2","0.0","0.0","1.0896329879760742","1.0950857400894165","0.4693959355354309","1.0"
"3","0.5","1.0","1.0849789381027222","1.0907044410705566","0.46828582882881165","1.0"
"4","0.5","1.0","1.0794188976287842","1.0856523513793945","0.4669526219367981","1.0"
"5","0.5","1.0","1.0729821920394897","1.0800029039382935","0.46539992094039917","1.0"
"6","0.5","1.0","1.065828800201416","1.073836088180542","0.46366265416145325","1.0"
"7","0.5","1.0","1.0580514669418335","1.067230224609375","0.46175968647003174","1.0"
"8","0.5","1.0","1.0497303009033203","1.0602411031723022","0.45970726013183594","1.0"
"9","0.5","1.0","1.0409290790557861","1.0529193878173828","0.4575178027153015","1.0"
"10","1.0","1.0","1.0317120552062988","1.0453221797943115","0.4552042484283447","1.0"
"11","1.0","1.0","1.0221494436264038","1.037809133529663","0.4527814984321594","1.0"
"12","1.0","1.0","1.0123023986816406","1.0301799774169922","0.45026254653930664","1.0"
"13","1.0","1.0","1.0022894144058228","1.0224223136901855","0.4476747512817383","1.0"
"14","1.0","1.0","0.992148756980896","1.0145572423934937","0.4450269937515259","1.0"
"15","1.0","1.0","0.9819176197052002","1.0065929889678955","0.44232815504074097","1.0"
"16","1.0","1.0","0.9715468883514404","0.9985499382019043","0.4395643472671509","1.0"
"17","1.0","1.0","0.9608396291732788","0.9904466271400452","0.4366828203201294","1.0"
"18","1.0","1.0","0.950020432472229","0.9822992086410522","0.4337398409843445","1.0"
"19","1.0","1.0","0.9391157627105713","0.9738141894340515","0.43074139952659607","1.0"
"20","1.0","1.0","0.928149402141571","0.9652826189994812","0.4276930093765259","1.0"
"21","1.0","1.0","0.9171426296234131","0.9568572044372559","0.42459964752197266","1.0"
"22","1.0","1.0","0.9061123132705688","0.9483146667480469","0.42146551609039307","1.0"
"23","1.0","1.0","0.8950545191764832","0.9399179220199585","0.41828837990760803","1.0"
"24","1.0","1.0","0.8840039372444153","0.9312475919723511","0.4150781035423279","1.0"
"25","1.0","1.0","0.8729745149612427","0.9225459098815918","0.41183847188949585","1.0"
"26","1.0","1.0","0.86197829246521","0.9138668179512024","0.40857285261154175","1.0"
"27","1.0","1.0","0.851026177406311","0.9052021503448486","0.40528443455696106","1.0"
"28","1.0","1.0","0.8401778340339661","0.8964716792106628","0.4019924998283386","1.0"
"29","1.0","1.0","0.8294123411178589","0.8879113793373108","0.3986901640892029","1.0"
"30","1.0","1.0","0.818719744682312","0.8793817162513733","0.39537471532821655","1.0"
"31","1.0","1.0","0.8081064820289612","0.870873749256134","0.3920486569404602","1.0"
"32","1.0","1.0","0.7975703477859497","0.8623906970024109","0.38871151208877563","1.0"
"33","1.0","1.0","0.7871429920196533","0.8539702296257019","0.3853739798069","1.0"
"34","1.0","1.0","0.7768756151199341","0.8456151485443115","0.3820538818836212","1.0"
"35","1.0","1.0","0.766701340675354","0.8373281955718994","0.37872999906539917","1.0"
"36","1.0","1.0","0.7566214799880981","0.8291117548942566","0.3754032850265503","1.0"
"37","1.0","1.0","0.74663907289505","0.8209678530693054","0.37207549810409546","1.0"
"38","1.0","1.0","0.7368291020393372","0.8128981590270996","0.368772029876709","1.0"
"39","1.0","1.0","0.7272015810012817","0.8049230575561523","0.3654977083206177","1.0"
"40","1.0","1.0","0.7176748514175415","0.7970380783081055","0.36222636699676514","1.0"
"41","1.0","1.0","0.7082493901252747","0.7892298698425293","0.3589588701725006","1.0"
"42","1.0","1.0","0.6989257335662842","0.7814538478851318","0.3556961715221405","1.0"
"43","1.0","1.0","0.6897189617156982","0.7737380862236023","0.3524444103240967","1.0"
"44","1.0","1.0","0.6807554960250854","0.766080915927887","0.34924983978271484","1.0"
"45","1.0","1.0","0.671963095664978","0.7585034966468811","0.34608787298202515","1.0"
"46","1.0","1.0","0.6632795333862305","0.7510061264038086","0.34293752908706665","1.0"
"47","1.0","1.0","0.6546928882598877","0.7435886263847351","0.3397952914237976","1.0"
"48","1.0","1.0","0.6462060213088989","0.7362618446350098","0.3366629481315613","1.0"
"49","1.0","1.0","0.6378061771392822","0.7290135025978088","0.3335362374782562","1.0"
"50","1.0","1.0","0.6294858455657959","0.7218377590179443","0.33041298389434814","1.0"
"51","1.0","1.0","0.6212559938430786","0.7147462368011475","0.3272978663444519","1.0"
"52","1.0","1.0","0.613120436668396","0.7077309489250183","0.3241931200027466","1.0"
"53","1.0","1.0","0.6050761938095093","0.7007917165756226","0.321098268032074","1.0"
"54","1.0","1.0","0.5971550941467285","0.6939287781715393","0.31802594661712646","1.0"
"55","1.0","1.0","0.5893239974975586","0.6871416568756104","0.31496456265449524","1.0"
"56","1.0","1.0","0.5815767049789429","0.6804302930831909","0.3119121789932251","1.0"
"57","1.0","1.0","0.5739167928695679","0.6737945675849915","0.30887094140052795","1.0"
"58","1.0","1.0","0.5663415193557739","0.6672343015670776","0.30584022402763367","1.0"
"59","1.0","1.0","0.5588757991790771","0.6607489585876465","0.3028305768966675","1.0"
"60","1.0","1.0","0.5515232086181641","0.6543382406234741","0.29984426498413086","1.0"
"61","1.0","1.0","0.5442562103271484","0.6479998826980591","0.2968710660934448","1.0"
"62","1.0","1.0","0.5370714664459229","0.6417611837387085","0.2939102053642273","1.0"
"63","1.0","1.0","0.5299749374389648","0.6355955600738525","0.29096466302871704","1.0"
"64","1.0","1.0","0.5229637622833252","0.6295022964477539","0.2880339026451111","1.0"
"65","1.0","1.0","0.5160359740257263","0.6234809756278992","0.2851177453994751","1.0"
"66","1.0","1.0","0.5091893672943115","0.6175311207771301","0.28221583366394043","1.0"
"67","1.0","1.0","0.5024252533912659","0.6116521954536438","0.2793292701244354","1.0"
"68","1.0","1.0","0.4957418441772461","0.6058436036109924","0.27645790576934814","1.0"
"69","1.0","1.0","0.4891572594642639","0.600104808807373","0.2736099362373352","1.0"
"70","1.0","1.0","0.48264241218566895","0.594426691532135","0.27077338099479675","1.0"
"71","1.0","1.0","0.47619864344596863","0.588813841342926","0.26794934272766113","1.0"
"72","1.0","1.0","0.4698326587677002","0.5832629203796387","0.26514142751693726","1.0"
"73","1.0","1.0","0.4635428488254547","0.5777884721755981","0.2623494267463684","1.0"
"74","1.0","1.0","0.4573388695716858","0.5723786354064941","0.2595781683921814","1.0"
"75","1.0","1.0","0.45121121406555176","0.5670329332351685","0.2568240463733673","1.0"
"76","1.0","1.0","0.4451613426208496","0.5617514252662659","0.25408822298049927","1.0"
"77","1.0","1.0","0.43919241428375244","0.5565335154533386","0.2513728141784668","1.0"
"78","1.0","1.0","0.43329429626464844","0.5513662099838257","0.24867376685142517","1.0"
"79","1.0","1.0","0.4274476170539856","0.5462566614151001","0.2459825873374939","1.0"
"80","1.0","1.0","0.4216746687889099","0.5411987900733948","0.24330979585647583","1.0"
"81","1.0","1.0","0.41597241163253784","0.5361981391906738","0.24065455794334412","1.0"
"82","1.0","1.0","0.4103443920612335","0.5312559604644775","0.23801903426647186","1.0"
"83","1.0","1.0","0.4047873020172119","0.5263686180114746","0.23540206253528595","1.0"
"84","1.0","1.0","0.3993017077445984","0.5215420126914978","0.23280444741249084","1.0"
"85","1.0","1.0","0.3938906192779541","0.51677405834198","0.23022809624671936","1.0"
"86","1.0","1.0","0.3885505199432373","0.512064516544342","0.2276717722415924","1.0"
"87","1.0","1.0","0.3832815885543823","0.5074131488800049","0.2251361906528473","1.0"
"88","1.0","1.0","0.37808728218078613","0.502819836139679","0.22262334823608398","1.0"
"89","1.0","1.0","0.37296438217163086","0.4982839524745941","0.22013221681118011","1.0"
"90","1.0","1.0","0.3679128885269165","0.49380531907081604","0.2176632285118103","1.0"
"91","1.0","1.0","0.36293506622314453","0.48938366770744324","0.2152179479598999","1.0"
"92","1.0","1.0","0.3580250144004822","0.48501861095428467","0.21279406547546387","1.0"
"93","1.0","1.0","0.35318470001220703","0.4807093143463135","0.21039295196533203","1.0"
"94","1.0","1.0","0.3484158515930176","0.47645267844200134","0.20801588892936707","1.0"
"95","1.0","1.0","0.3437137007713318","0.47225260734558105","0.20566090941429138","1.0"
"96","1.0","1.0","0.3390807807445526","0.4681074023246765","0.20332978665828705","1.0"
"97","1.0","1.0","0.3345020115375519","0.46400976181030273","0.20101551711559296","1.0"
"98","1.0","1.0","0.3299788236618042","0.4599630832672119","0.19871914386749268","1.0"
"99","1.0","1.0","0.3255188763141632","0.4559672772884369","0.19644474983215332","1.0"
